,0
0,Tamara Mellon
1,HopSkipDrive
2,Panda Squad
3,Help.com
4,Inspirato
5,Flytedesk
6,Remote Year
7,CTO.ai
8,Flywheel Sports
9,Compass
10,Convene
11,GrayMeta
12,Ladder Life
13,Leafly
14,The Guild
15,Triplebyte
16,Foodsby
17,Sonder
18,Zeus Living
19,Jama
20,OutboundEngine
21,Overtime
22,TripActions
23,WanderJaunt
24,Wonderschool
25,B8ta
26,Consider.co
27,Ecobee
28,GoSpotCheck
29,Peerspace
30,Puppet
31,Bench
32,Bevi
33,Bird
34,Blueground
35,DataRobot
36,Getaround
37,HOOQ
38,Knotel
39,Mogo
40,OneWeb
41,Textio
42,Zipcar
43,TravelTriangle
44,Amplero
45,ZipRecruiter
46,FabHotels
47,Hibob
48,Iris Nova
49,Loftsmart
50,Maven
51,PeerStreet
52,RigUp
53,Thumbtack
54,AdRoll
55,DialSource
56,KeepTruckin
57,Rover
58,Turo
59,uShip
60,Zenoti
61,Acko
62,Aqua Security
63,Crayon
64,Earnin
65,Highsnobiety
66,Incredible Health
67,PatientPop
68,Sensibill
69,Showpad
70,Usermind
71,Wonolo
72,1stdibs
73,ClassPass
74,Coding Dojo
75,Dynamic Signal
76,eGym
77,Industrious
78,Instamojo
79,Jobcase
80,Katerra
81,MindBody
82,Ritual
83,Sauce Labs
84,Synergysuite
85,The Predictive Investment
86,ThirdLove
87,TripleLift
88,Arrive Logistics
89,Bustle Digital Group
90,D2iQ
91,Gympass
92,Jetty
93,Minted
94,Opencare
95,Salsify
96,Sojern
97,Iflix
98,Astra
99,Borrowell
100,BounceX
101,BusBud
102,Cogito
103,Metromile
104,PerkSpot
105,Rock Content
106,Wordstream
107,Away
108,Branch Metrics
109,ezCater
110,Group Nine Media
111,Ibotta
112,MediaMath
113,Redfin
114,Sage Therapeutics
115,Toast
116,Button
117,Eden / Managed …
118,Eventbrite
119,GetNinjas
120,Kenoby
121,Lever
122,Meesho
123,Quantcast
124,Scoop
125,Spyce
126,Unbabel
127,Unison
128,VideoAmp
129,Clinc
130,Code42
131,Domo
132,LoopMe
133,Matterport
134,Mejuri
135,Omie
136,OneTrust
137,Yelp
138,Atsu
139,Frontdesk
140,NuoDB
141,Rhumbix
142,Clearbanc
143,EasyPost
144,Groupon
145,Neon
146,Zoox
147,Envoy
148,The RealReal
149,TouchBistro
150,VSCO
151,Carta
152,GoPro
153,Kodiak Robotics
154,Opendoor
155,Parsable
156,Shop101
157,Zume
158,CarGurus
159,CleverTap
160,Funding Societies
161,ContaAzul
162,Greenhouse
163,Loft
164,People.ai
165,QuintoAndar
166,Sweetgreen
167,Tor
168,Zilingo
169,ConsenSys
170,Forward
171,GumGum
172,Klook
173,Komodo Health
174,Kueski
175,Movidesk
176,Bringg
177,Casper
178,Freshbooks
179,Houzz
180,Lending Club
181,Patreon
182,RealSelf
183,Swiggy
184,Ike
185,Magic Leap
186,When I Work
187,Oscar Health
188,Sisense
189,StockX
190,Zenefits
191,Ada Support
192,Divergent 3D
193,Horizn Studios
194,Jiobit
195,Lighter Capital
196,TutorMundi
197,UPshow
198,Welkin Health
199,Submittable
200,Automation Anything
201,JetClosing
202,App Annie
203,Deliveroo
204,OpenX
205,PayJoy
206,Shipsi
207,TripAdvisor
208,Kayak / OpenTable
209,Lime
210,Lyft
211,TranSan Francisco Bay Areaix
212,Culture Trip
213,Namely
214,Sandbox VR
215,TheSkimm
216,Trax
217,Careem
218,CureFit
219,Deputy
220,Element AI
221,Loopio
222,Oriente
223,Veriff
224,Airbnb
225,Andela
226,Juul
227,Stack Overflow
228,Workable
229,Rubicon Project
230,Segment
231,Uber
232,Flywire
233,Glassdoor
234,Jump
235,Numbrs
236,Tally
237,N26
238,Cadre
239,Revolut
240,Hireology
241,Mixpanel
242,Top Hat
243,Deliv
244,Kickstarter
245,Mercos
246,Cruise
247,Integral Ad Science
248,Ridecell
249,Lattice
250,Lendingkart
251,Zomato
252,WeWork
253,Livspace
254,Pollen
255,Intercom
256,Ola
257,Samsara
258,ShareChat
259,SoFi
260,Stay Alfred
261,Cvent
262,Glitch
263,PickYourTrail
264,Bluprint
265,Ebanx
266,Instructure
267,BookMyShow
268,Culture Amp
269,The Sill
270,TrueCar
271,Brex
272,Loftium
273,CrowdStreet
274,Stitch Fix
275,Descartes Labs
276,Fundbox
277,Rivian
278,Credit Sesame
279,Monzo
280,SpotHero
281,Builder
282,Lastline
283,Ethos Life
284,The Athletic
285,Branch
286,SynapseFI
287,Grab
288,PaisaBazaar
289,Redox
290,Splunk
291,Navi
292,Intuit
293,Dark
294,Gojek
295,ScaleFactor
296,Sonos
297,Bounce
298,G2
299,Skyscanner
300,Optimizely
301,LinkedIn
302,Checkr
303,Zeitgold
304,Procore
305,Buy.com
306,Thriver
307,Glossier
308,Eatsy
309,Mozilla
310,Docly
311,SaleSan Francisco Bay Areaorce
312,MakeMyTrip
313,GoBear
314,Waze
315,NS8
316,Alto Pharmacy
317,GetYourGuide
318,Worksmith
319,Bridge Connector
320,Aya
321,Breather
322,Dropbox
323,Pocketmath
324,Postmates
325,Hubba
326,Quandoo
327,New Relic
328,Flockjay
329,Treehouse
330,Zillow
331,BitTitan
332,Better.com
333,Delivery Hero
334,Gopuff
335,Rhino
336,Peloton
337,Daily Harvest
338,Hopin
339,Homie
340,Liv Up
341,Virgin Hyperloop
342,Wish
343,Hyperscience
344,Adaptive Biotechnology
345,Knock
346,Trell
347,Storytel
348,Thinkific
349,Rasa
350,Legible
351,Unacademy
352,Food52
353,Rad Power Bikes
354,Ahead
355,Blend
356,Facily
357,Xiaohongshu
358,Bonsai
359,Robinhood
360,Domestika
361,Avo
362,Cameo
363,Mainstreet
364,SEND
365,Mural
366,On Deck
367,Vedantu
368,Reef
369,Meero
370,Vroom
371,Carvana
372,Doma
373,Latch
374,AliExpress Russia
375,Zak
376,Kry
377,Netflix
378,Picsart
379,Cars24
380,Outside
381,Skillz
382,MFine
383,Airtime
384,BeyondMinds
385,Buenbit
386,ClickUp
387,Klarna
388,Gorillas
389,Bolt
390,Coterie Insurance
391,Kontist
392,Lacework
393,Nuri
394,Bitso
395,VTEX
396,FrontRow
397,Uncapped
398,Mobile Premier League
399,SumUp
400,SWVL
401,BookClub
402,Tomo
403,2TM
404,Curve
405,Cybereason
406,Impala
407,Loom
408,Udayy
409,Carbon Health
410,Gather
411,Gemini
412,IRL
413,PolicyGenius
414,Stord
415,Yojak
416,Superhuman
417,Dutchie
418,Cazoo
419,Rupeek
420,iPrice Group
421,Truepill
422,Boozt
423,Convoy
424,Hologram
425,Preply
426,Stashaway
427,The Grommet
428,Albert
429,Berlin Brands Group
430,Crypto.com
431,FarEye
432,Freetrade
433,Sanar
434,BlockFi
435,Studio
436,Wave Sports and Entertainment
437,Breathe
438,Coinbase
439,Sami
440,TIFIN
441,Notarize
442,OpenWeb
443,Swappie
444,Swyft
445,Tonkean
446,Wealthsimple
447,Weee!
448,JOKR
449,Zumper
450,Finite State
451,Socure
452,BitOasis
453,CityMall
454,Aqgromalin
455,Brighte
456,SummerBio
457,Community
458,Sourcegraph
459,IronNet
460,MasterClass
461,Superpedestrian
462,Voi
463,Aura
464,Pipl
465,Vouch
466,Voyage SMS
467,Bestow
468,Bitpanda
469,Sunday
470,AppLovin
471,Banxa
472,SafeGraph
473,Udaan
474,UiPath
475,Bright Machines
476,HealthMatch
477,Huobi
478,Sidecar Health
479,Vezeeta
480,Baton
481,Clutch
482,Niantic
483,Oye Rickshaw
484,Qumulo
485,Rows
486,Substack
487,Unity
488,Abra
489,Crejo.Fun
490,Enjoy
491,Finleap Connect
492,Nate
493,Stash Financial
494,Stream
495,Canoo
496,Teleport
497,Celsius
498,Lendis
499,Lightricks
500,Sendle
501,Bizzabo
502,Bullish
503,eToro
504,Outschool
505,Syte
506,Thimble
507,Transmit Security
508,Verbit
509,Anodot
510,Remote
511,SQream
512,Argo AI
513,Emotive
514,Next Insurance
515,Butler Hospitality
516,Calibrate
517,SundaySky
518,Hubilo
519,Arrival
520,Bryter
521,ChowNow
522,Fabric
523,Involves
524,Tonal
525,Wave
526,Kiavi
527,The Mom Project
528,Unstoppable Do.
529,Zego
530,Bright Money
531,Heroes
532,Project44
533,Lusha
534,Olive AI
535,Flyhomes
536,Forma.ai
537,Introhive
538,Zencity
539,Blockchain.com
540,Lunchbox
541,WHOOP
542,Clarify Health
543,Eucalyptus
544,Quanto
545,Soluto
546,Pear Therapeutics
547,Dover
548,Fiverr
549,Immutable
550,InDebted
551,Outbrain
552,Shopify
553,Coinsquare
554,Skai
555,Vox Media
556,Career Karma
557,Clearco
558,Metigy
559,Vee
560,Hash
561,Nylas
562,Outreach
563,Sendy
564,Stedi
565,Beyond Meat
566,Unbounce
567,10X Genomics
568,Jam City
569,LEAD
570,RenoRun
571,iRobot
572,Uberflip
573,Loggi
574,Perion
575,GoHealth
576,Hootsuite
577,Linktree
578,MadeiraMadeira
579,Nutanix
580,Quanterix
581,Shogun
582,Permutive
583,Trybe
584,Calm
585,FourKites
586,Marketforce
587,ContraFect
588,Sema4
589,AlayaCare
590,Pliops
591,Woven
592,Malwarebytes
593,Wheel
594,Wayfair
595,Amperity
596,NSO
597,Tufin
598,Packable
599,Plato
600,Q4
601,Skedulo
602,Tier Mobility
603,Loop
604,Reali
605,Argyle
606,54gene
607,Immersive Labs
608,Apartment List
609,GoodRx
610,Hippo Insurance
611,Smava
612,Snap
613,TCR2
614,Innovaccer
615,Urban Sports Club
616,Kuda
617,Brave Care
618,Lawgeex
619,Demandbase
620,Pendo
621,Simple Feast
622,Pomelo Fashion
623,Compete
624,Checkout.com
625,Rubius
626,Taboola
627,Infarm
628,Pitch
629,Twilio
630,Acast
631,LivePerson
632,WorkRamp
633,Clear
634,TrueLayer
635,Vesalius Therapeutics
636,99
637,Ada
638,Kitty Hawk
639,NYDIG
640,Foxtrot
641,Moss
642,Truiloo
643,Divvy Homes
644,DocuSign
645,Mux
646,Spin
647,8x8
648,Zoomo
649,Built In
650,Impossible Foods
651,BioMarin
652,Momentive
653,Pavilion Data
654,Redesign Health
655,Linkfire
656,Noom
657,Pacaso
658,Udacity
659,6sense
660,Byju's
661,Playdots
662,Flipboard
663,Faire
664,AtoB
665,InfoSum
666,Hotmart
667,Elinvar
668,Khoros
669,Synapsica
670,Antidote Health
671,OrCam
672,Cerebral
673,Snyk
674,Unico
675,Embroker
676,Recharge
677,Amazon
678,Fifth Season
679,Equitybee
680,EquityZen
681,Gem
682,Oda
683,Upstart
684,Chargebee
685,Checkmarx
686,Chime
687,Dapper Labs
688,Iron Ox
689,Pleo
690,Shippo
691,Stripe
692,Exodus
693,KoinWorks
694,Planetly
695,Twitter
696,Varonis
697,Dock
698,Zendesk
699,Repertoire Immunity
700,AvantStay
701,Kabam
702,Liftoff
703,Meta
704,Namogoo
705,Plum
706,Root Insurance
707,GoTo Group
708,InfluxData
709,Ocavu
710,SoundHound
711,Forto
712,Veev
713,Cloudinary
714,iFit
715,Illumina
716,Pipedrive
717,Ribbon
718,Asana
719,CaptivateIQ
720,Deliveroo Australia
721,Jimdo
722,OwnBackup
723,Cisco
724,Lokalise
